종목명,티커,터치시각,밴드종류,터치가격,이격도(%),터치전기울기(%/봉),터치전각도(도),터치후기울기(%/봉),터치후각도(도),반전각도(도),반전성공여부,구름상태,피보4,피보5,구간
대한광통신,010170.KQ,2023-06-15 00:00:00+09:00,엔상5터치,2680.0,23.71590591814531,1.6326530612244898,58.51253063578603,-2.7042801556420235,-69.70640399615368,-128.2189346319397,True,양운,2111.75,2057.596153846154,검증
대한광통신,010170.KQ,2024-03-06 00:00:00+09:00,엔하5터치,1070.0,-17.954327909202785,-1.8883415435139577,-62.095861990597015,0.685820203892493,34.44311687508287,96.5389788656799,True,음운,1171.65,1205.5961538461538,검증
대한광통신,010170.KQ,2024-03-15 00:00:00+09:00,엔하5터치,1058.0,-17.06920539636387,0.34482758620689674,19.02560603756869,1.853932584269663,61.65784555657867,42.632239519009985,False,음운,1078.3625,1098.3701923076924,검증
대한광통신,010170.KQ,2024-03-19 00:00:00+09:00,엔하5터치,1030.0,-17.859453658844505,-0.6057781919850886,-31.2065669944073,1.5673076923076925,57.46062553644139,88.6671925308487,True,음운,1071.5375,1082.8221153846152,검증
대한광통신,010170.KQ,2024-11-15 00:00:00+09:00,엔하5터치,706.0,-22.531117836884412,-2.0861244019138754,-64.38890694569416,-0.7651006711409396,-37.41962706187638,26.969279883817777,True,음운,971.2875,989.4951923076924,검증
대한광통신,010170.KQ,2025-03-20 00:00:00+09:00,엔하5터치,416.0,-37.7483108535567,-0.7154742096505823,-35.58274289162673,0.5421686746987953,28.46516214265485,64.04790503428158,True,음운,588.075,600.5288461538462,검증
대한광통신,010170.KQ,2025-06-17 00:00:00+09:00,엔상5터치,810.0,28.77775242069572,0.7489597780859919,36.831734388046584,1.810126582278481,61.0816519568137,24.249917568767117,False,양운,747.9625,729.8701923076924,검증
대한광통신,010170.KQ,2025-06-19 00:00:00+09:00,엔상5터치,837.0,29.275863172378486,2.1476510067114094,65.0321359293344,2.88135593220339,70.86021774134687,5.828081812012471,False,양운,768.1125,752.3125,검증
대한광통신,010170.KQ,2025-06-24 00:00:00+09:00,엔상5터치,873.0,34.35105029631697,0.6835443037974684,34.35433665503968,4.770857814336075,78.16184850700176,43.80751185196208,False,양운,806.65,783.0576923076924,검증
대한광통신,010170.KQ,2025-07-08 00:00:00+09:00,엔상5터치,1090.0,44.33752775721688,-1.9748305905130688,-63.143597869001205,-0.7500000000000001,-36.86989764584403,26.273700223157178,False,양운,983.6125,955.9278846153846,검증
대한광통신,010170.KQ,2025-09-10 00:00:00+09:00,엔상5터치,1646.0,48.82506527415143,1.7712811693895094,60.55253015576872,-0.44188861985472166,-23.840089811690387,-84.39261996745911,True,양운,1313.525,1255.201923076923,검증
대한광통신,010170.KQ,2025-11-03 00:00:00+09:00,엔상5터치,2810.0,87.86687525906909,4.766925638179801,78.15235924672952,-0.9551656920077979,-43.68636887631761,-121.83872812304713,True,양운,2067.05,1965.7115384615386,검증
대한광통신,010170.KQ,2026-02-23 00:00:00+09:00,엔상5터치,5040.0,62.66681548690378,4.76608187134503,78.15032108569895,0.41758241758241765,22.664557434696103,-55.48576365100284,True,양운,3733.25,3551.6346153846152,검증
