종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,구간,이격도(%),이격도크기,이격도구간
SK하이닉스,000660.KS,2020-08-20 00:00:00+09:00,엔하5터치,롱,67375.78125,74225.953125,5,5봉경과,10.167113090061571,120.18369245256072,True,검증,-13.496056350140472,13.496056350140472,작음
SK하이닉스,000660.KS,2021-08-12 00:00:00+09:00,엔하5터치,롱,95272.40625,97168.3828125,5,5봉경과,1.9900584409769748,87.28706086670019,True,검증,-17.099726769026443,17.099726769026443,작음
SK하이닉스,000660.KS,2022-09-27 00:00:00+09:00,엔하5터치,롱,79131.390625,86979.890625,5,5봉경과,9.9183142593736,131.1906379932782,True,검증,-13.056371480148943,13.056371480148943,작음
SK하이닉스,000660.KS,2024-08-05 00:00:00+09:00,엔하5터치,롱,153884.34375,174487.703125,5,5봉경과,13.388860018451355,124.55161258019108,True,검증,-27.294870951455525,27.294870951455525,큼
대한광통신,010170.KQ,2000-09-05 00:00:00+09:00,엔하5터치,롱,22265.896484375,16434.353515625,5,5봉경과,-26.19047013374135,-139.04641280243277,False,학습,-45.694339093540776,45.694339093540776,큼
대한광통신,010170.KQ,2001-09-14 00:00:00+09:00,엔하5터치,롱,13205.3154296875,13253.509765625,5,5봉경과,0.3649616413489981,140.49118397732747,True,학습,-16.565165981802107,16.565165981802107,작음
대한광통신,010170.KQ,2001-12-13 00:00:00+09:00,엔하5터치,롱,10891.9755859375,9253.3603515625,5,5봉경과,-15.044242630240529,-53.383317156489085,False,학습,-32.172869489321855,32.172869489321855,큼
대한광통신,010170.KQ,2002-01-10 00:00:00+09:00,엔하5터치,롱,8000.30078125,7759.32763671875,5,5봉경과,-3.0120510605802417,-7.708843439487438,False,학습,-40.15343742780074,40.15343742780074,큼
대한광통신,010170.KQ,2002-06-03 00:00:00+09:00,엔하5터치,롱,4877.2919921875,4578.4853515625,5,5봉경과,-6.126486605756468,22.647583915913454,True,학습,-27.93870217197847,27.93870217197847,큼
대한광통신,010170.KQ,2002-06-11 00:00:00+09:00,엔하5터치,롱,4530.291015625,4723.0693359375,5,5봉경과,4.255318690291782,105.15677832879872,True,학습,-28.114768190381184,28.114768190381184,큼
